ID,Category
1,3
2,3
3,3
4,3
5,2
6,2
7,3
8,3
9,3
10,2
11,3
12,3
13,1
14,2
15,3
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,1
24,3
25,3
26,3
27,3
28,3
29,2
30,3
31,3
32,2
33,3
34,3
35,3
36,5
37,4
38,2
39,2
40,5
41,2
42,3
43,3
44,2
45,3
46,3
47,3
48,3
49,2
50,3
51,3
52,3
53,3
54,1
55,3
56,3
57,3
58,3
59,2
60,2
61,2
62,5
63,2
64,3
65,2
66,1
67,3
68,3
69,3
70,3
71,4
72,3
73,2
74,2
75,2
76,2
77,2
78,3
79,4
80,3
81,2
82,3
83,1
84,2
85,3
86,1
87,2
88,4
89,2
90,2
91,3
92,1
93,2
94,3
95,3
96,2
97,2
98,2
99,3
100,2
101,3
102,2
103,4
104,3
105,2
106,2
107,3
108,3
109,5
110,3
111,2
112,1
113,4
114,3
115,2
116,2
117,2
118,4
119,3
120,2
121,2
122,2
123,2
124,3
125,3
126,2
127,4
128,3
129,2
130,2
131,2
132,2
133,2
134,3
135,2
136,3
137,3
138,1
139,3
140,1
141,3
142,2
143,3
144,3
145,3
146,3
147,2
148,3
149,5
150,3
151,3
152,2
153,3
154,2
155,2
156,1
157,3
158,2
159,2
160,2
161,2
162,2
163,3
164,3
165,3
166,2
167,3
168,2
169,3
170,2
171,3
172,2
173,3
174,2
175,3
176,1
177,3
178,3
179,3
180,3
181,3
182,2
183,3
184,4
185,2
186,3
187,4
188,2
189,3
190,3
191,2
192,3
193,3
194,3
195,3
196,3
197,4
198,3
199,4
200,2
201,2
202,5
203,3
204,2
205,3
206,3
207,2
208,5
209,3
210,1
211,1
212,4
213,3
214,3
215,1
216,3
217,4
218,2
219,3
220,2
221,3
222,4
223,1
224,3
225,4
226,3
227,5
228,2
229,5
230,3
231,3
232,2
233,3
234,3
235,2
236,3
237,1
238,3
239,3
240,3
241,3
242,3
243,3
244,2
245,5
246,3
247,2
248,3
249,4
250,2
251,2
252,1
253,4
254,2
255,3
256,3
257,1
258,3
259,2
260,3
261,3
262,4
263,2
264,2
265,4
266,2
267,3
268,2
269,2
270,3
271,2
272,4
273,3
274,4
275,3
276,4
277,2
278,2
279,3
280,3
281,3
282,2
283,3
284,2
285,3
286,2
287,1
288,2
289,3
290,3
291,3
292,2
293,4
294,3
295,3
296,3
297,2
298,3
299,3
300,4
301,2
302,4
303,3
304,3
305,3
306,2
307,3
308,2
309,2
310,3
311,5
312,3
313,3
314,4
315,3
316,3
317,3
318,3
319,3
320,3
321,1
322,3
323,3
324,3
325,2
326,1
327,2
328,4
329,2
330,3
331,3
332,3
333,2
334,3
335,2
336,2
337,3
338,3
339,3
340,2
341,4
342,4
343,3
344,3
345,2
346,3
347,2
348,2
349,3
350,3
351,3
352,2
353,3
354,1
355,5
356,3
357,5
358,4
359,1
360,2
361,3
362,3
363,2
364,2
365,3
366,3
367,3
368,3
369,2
370,4
371,2
372,2
373,1
374,2
375,3
376,1
377,3
378,3
379,3
380,3
381,3
382,4
383,2
384,2
385,3
386,2
387,2
388,3
389,2
390,3
391,2
392,2
393,4
394,3
395,4
396,2
397,4
398,3
399,3
400,2
401,3
402,3
403,4
404,2
405,3
406,2
407,2
408,3
409,3
410,5
411,2
412,3
413,2
414,4
415,3
416,2
417,2
418,3
419,3
420,3
421,2
422,3
423,2
424,2
425,3
426,2
427,3
428,3
429,3
430,4
431,2
432,2
433,3
434,3
435,3
436,3
437,2
438,3
439,1
440,4
441,5
442,3
443,3
444,2
445,2
446,2
447,1
448,2
449,2
450,2
451,3
452,2
453,2
454,2
455,3
456,2
457,4
458,1
459,2
460,3
461,2
462,4
463,2
464,3
465,1
466,2
467,3
468,2
469,1
470,2
471,3
472,2
473,3
474,3
475,2
476,2
477,2
478,2
479,3
480,2
481,3
482,3
483,3
484,3
485,3
486,3
487,3
488,3
489,3
490,3
491,2
492,2
493,3
494,2
495,2
496,2
497,3
498,2
499,1
500,1
501,3
502,2
503,3
504,3
505,2
506,2
507,3
508,3
509,1
510,2
511,3
512,4
513,1
514,2
515,3
516,2
517,4
518,2
519,2
520,1
521,3
522,3
523,2
524,2
525,3
526,3
527,3
528,3
529,3
530,3
531,3
532,2
533,2
534,2
535,3
536,3
537,4
538,3
539,4
540,3
541,3
542,2
543,3
544,1
545,3
546,2
547,2
548,2
549,2
550,3
551,3
552,3
553,2
554,2
555,3
556,2
557,3
558,3
559,2
560,1
561,3
562,3
563,3
564,2
565,2
566,2
567,2
568,3
569,3
570,1
571,3
572,4
573,3
574,2
575,3
576,2
577,2
578,5
579,2
580,3
581,2
582,4
583,3
584,2
585,2
586,3
587,3
588,1
589,3
590,2
591,2
592,3
593,3
594,3
595,3
596,3
597,3
598,3
599,5
600,1
601,2
602,2
603,3
604,4
605,2
606,3
607,1
608,3
609,3
610,2
611,3
612,3
613,3
614,2
615,3
616,2
617,3
618,2
619,3
620,3
621,3
622,2
623,3
624,2
625,3
626,3
627,3
628,3
629,3
630,3
631,2
632,3
633,4
634,1
635,5
636,3
637,2
638,5
639,1
640,3
641,2
642,1
643,3
644,3
645,4
646,3
647,3
648,4
649,3
650,2
651,2
652,3
653,2
654,3
655,3
656,1
657,3
658,3
659,2
660,3
661,3
662,1
663,2
664,2
665,2
666,2
667,5
668,2
669,2
670,3
671,4
672,3
673,3
674,3
675,3
676,2
677,2
678,2
679,2
680,2
681,2
682,2
683,3
684,3
685,5
686,3
687,1
688,3
689,3
690,3
691,3
692,3
693,2
694,5
695,2
696,3
697,2
698,3
699,2
700,4
701,3
702,3
703,1
704,4
705,4
706,3
707,1
708,2
709,3
710,3
711,3
712,2
713,2
714,4
715,2
716,3
717,2
718,2
719,2
720,2
721,2
722,3
723,2
724,3
725,3
726,2
727,2
728,1
729,3
730,3
731,2
732,5
733,3
734,3
735,5
736,3
737,2
738,2
739,2
740,2
741,5
742,2
743,2
744,2
745,3
746,3
747,2
748,3
749,3
750,1
751,4
752,4
753,2
754,4
755,3
756,3
757,3
758,2
759,2
760,2
761,4
762,2
763,3
764,3
765,3
766,3
767,2
768,2
769,2
770,3
771,3
772,3
773,2
774,3
775,4
776,3
777,4
778,2
779,2
780,2
781,3
782,3
783,2
784,2
785,2
786,3
787,3
788,2
789,3
790,3
791,3
792,3
793,4
794,5
795,3
796,3
797,3
798,2
799,2
800,3
801,2
802,2
803,3
804,2
805,3
806,4
807,2
808,2
809,2
810,2
811,3
812,2
813,5
814,3
815,3
816,3
817,3
818,3
819,2
820,2
